flip_p,num_iter,accuracy,is_best
0.25,200,96.45,True
0.05,10,96.44,False
0.1,10,96.43,False
0.15,100,96.43,False
0.1,20,96.42,False
0.1,50,96.42,False
0.1,200,96.42,False
0.15,50,96.42,False
0.05,5,96.41,False
0.05,50,96.41,False
0.05,200,96.41,False
0.1,30,96.41,False
0.1,100,96.41,False
0.2,100,96.41,False
0.05,20,96.4,False
0.05,40,96.4,False
0.1,40,96.4,False
0.15,40,96.4,False
0.2,30,96.4,False
0.3,200,96.39,False
0.15,30,96.38,False
0.15,200,96.38,False
0.2,50,96.38,False
0.2,200,96.38,False
0.05,100,96.37,False
0.25,100,96.37,False
0.05,30,96.35,False
0.3,100,96.35,False
0.2,20,96.34,False
0.35,200,96.34,False
0.1,5,96.29,False
0.2,40,96.28,False
0.15,20,96.26,False
0.25,20,96.26,False
0.3,50,96.25,False
0.25,30,96.24,False
0.25,50,96.24,False
0.2,10,96.22,False
0.25,40,96.22,False
0.35,100,96.21,False
0.15,5,96.19,False
0.4,200,96.16,False
0.15,10,96.14,False
0.3,40,96.14,False
0.25,10,96.13,False
0.3,30,96.12,False
0.35,40,96.12,False
0.35,50,96.11,False
0.05,1,96.1,False
0.2,5,96.06,False
0.3,20,96.01,False
0.3,10,95.99,False
0.4,100,95.97,False
0.45,200,95.96,False
0.25,5,95.94,False
0.35,20,95.89,False
0.4,40,95.88,False
0.35,30,95.82,False
0.4,50,95.79,False
0.1,1,95.66,False
0.45,100,95.48,False
0.4,30,95.41,False
0.35,10,95.37,False
0.15,1,94.97,False
0.3,5,94.9,False
0.4,20,94.74,False
0.45,50,93.3,False
0.2,1,93.25,False
0.35,5,93.12,False
0.4,10,92.14,False
0.45,40,91.45,False
0.25,1,89.46,False
0.45,30,89.04,False
0.4,5,83.32,False
0.45,20,82.91,False
0.3,1,81.16,False
0.45,10,67.42,False
0.35,1,64.71,False
0.45,5,48.76,False
0.4,1,44.65,False
0.45,1,23.68,False
