flip_p,num_iter,accuracy,baseline_accuracy,clamped_accuracy,tall_accuracy,clamped_to_tall_improvement,baseline_to_tall_improvement,is_best
0.3,100,97.41,97.38,97.29,97.41,0.1199999999999903,0.0300000000000011,True
0.15,20,97.36,97.38,97.29,97.36,0.0699999999999931,-0.019999999999996,False
0.35,200,97.35,97.38,97.29,97.35,0.059999999999988,-0.0300000000000011,False
0.2,40,97.34,97.38,97.29,97.34,0.0499999999999971,-0.039999999999992,False
0.2,30,97.32,97.38,97.29,97.32,0.0299999999999869,-0.0600000000000022,False
0.15,100,97.31,97.38,97.29,97.31,0.019999999999996,-0.0699999999999931,False
0.15,200,97.31,97.38,97.29,97.31,0.019999999999996,-0.0699999999999931,False
0.05,10,97.3,97.38,97.29,97.3,0.0099999999999909,-0.0799999999999983,False
0.05,40,97.3,97.38,97.29,97.3,0.0099999999999909,-0.0799999999999983,False
0.05,100,97.3,97.38,97.29,97.3,0.0099999999999909,-0.0799999999999983,False
